msoa,entropy_work,entropy_all,gini,hhi,lq,asymmetry
E02000064,5.47823219741386,6.162588520088092,0.17972350230414744,0.025494276795005204,0.5720608511083315,0.3191489361702128
E02000065,5.560820812605871,5.760823585269544,0.32747628673612195,0.028364615773083073,1.6584662803459542,0.04807692307692308
E02000066,5.806489925229244,5.725967452450342,0.3599364701211038,0.02394454946439824,0.7595275120827476,0.4010152284263959
E02000067,5.58801565221625,5.629814436353245,0.3786465805834529,0.03152885187388459,0.8983397541961267,0.029288702928870293
E02000068,5.4685759477224,5.509748596915954,0.3722813859307034,0.0310909233299397,0.8535057213699188,0.13409961685823754
E02000069,5.174191487061285,5.436169124289946,0.3446447507953341,0.035693039857227854,1.518529532877465,0.06285714285714286
E02000070,5.672713409336408,5.618949842003854,0.3983336639555644,0.0278714540765721,0.6296777340198794,0.5106382978723404
E02000071,5.608503769500873,5.462397225986358,0.3861471861471862,0.03282828282828284,0.9741458772691007,0.14285714285714285
E02000072,5.785866705682148,5.519010013205927,0.4872270586556301,0.02947845804988661,0.8401246711570969,0.29775280898876405
E02000073,5.876562780809114,5.847414810586087,0.3888975155279503,0.024034566567647853,0.5850381272334999,0.4703196347031963
E02000074,5.727593582495171,5.770263328514689,0.35294117647058826,0.0250244140625,0.7421482849027102,0.4222222222222222
E02000075,5.607152012132807,5.696428316390254,0.3999177547034029,0.03255367893867547,0.6472896953816323,0.41968911917098445
E02000077,5.900659221571578,5.484245487591682,0.3398105653744752,0.022556390977443597,1.072333893608731,0.1981981981981982
E02000078,5.7361414336774414,5.499723395590417,0.37126865671641796,0.026509244820672746,0.6843400250550294,0.3673469387755102
E02000079,5.6115002682529145,5.435583943594541,0.40875037458795327,0.031235853327297412,1.005116098122973,0.3088235294117647
E02000080,5.897637259468461,5.544986007489981,0.36318965517241375,0.02401902497027348,0.9078868454703415,0.05537459283387622
E02000081,5.958112355412164,5.780309365000969,0.37730061349693256,0.02668523467198616,1.2345135652127135,0.023952095808383235
E02000082,6.059337849386829,6.035644221958726,0.3665465631929047,0.020151695419393212,0.808913641010459,0.33877551020408164
E02000083,5.758974617796055,5.5260972067250185,0.44162640901771333,0.03815682651661487,0.7635501510160193,0.02072538860103627
